"origen_relativo","destino_relativo","bytes","sha256","estado","nota"
"Electronica\InteractiveBOM_PCB1_2026-8-10.html","02-electronica\bom\interactive-bom.html","20334354","F2E01A142CA0799F8F3221280E7E33EE1F95AAE9B7ACA12BF04EB808D33ACED3","incluido_en_git","Lista de materiales interactiva"
"Electronica\SCH_Schematic1_1-P1_2026-08-10.png","02-electronica\esquematicos\esquematico-sultana.png","495033","1DF7E97D10397D5FC5B7686757A52760E997CF53E637BF6315AD83383A210799","incluido_en_git","Esquemático raster"
"Electronica\SCH_Schematic1_1-P1_2026-08-10.svg","02-electronica\esquematicos\esquematico-sultana.svg","230715","44E7B2061D03E024C86D4C4ED9BE9B25EDD651458D8AEA8C763365767B5431E7","incluido_en_git","Esquemático vectorial"
"Electronica\PCB_EXPOCIENCIAS.mtl","02-electronica\modelos-3d\pcb-sultana.mtl","5848","49887B7BBB9FF1EE9289E23E534A9803042E4BDA8FDE0A089B3F4F6DE6F3C085","incluido_en_git","Material del modelo OBJ"
"Electronica\PCB_EXPOCIENCIAS.obj","02-electronica\modelos-3d\pcb-sultana.obj","10921443","2868F5FD0EA046CADBEF27035E673459C60424C8DEFDD06E5835E66BE8CBA8A5","incluido_en_git","Modelo OBJ de PCB"
"Electronica\3D PCB EXPOCIENCIAS.step","02-electronica\modelos-3d\pcb-sultana.step","24699052","826C3915E76CECB76CA9EC7F1A1474A44319F46C5D6E34130B9DDB4A7CCF3485","incluido_en_git","Modelo STEP de PCB"
"Electronica\Captura de pantalla 2026-08-10 212159.png","02-electronica\pcb\captura-editor-pcb.png","36961","5B2FDA7B98A94682CA216AB5A39DB525C30026F6968FC70912FFE167CD0C0197","incluido_en_git","Captura del diseño electrónico"
"Electronica\2D_PCB1_2026-08-10 (1).png","02-electronica\pcb\pcb-2d-vista-01.png","307887","5FE250433AF395DF58F3486F9AC614E878F39B4CD7F96469456E5FE0AF0C17CA","incluido_en_git","Vista 2D de PCB"
"Electronica\2D_PCB1_2026-08-10.png","02-electronica\pcb\pcb-2d-vista-02.png","274425","3B2C118F61E64C78655CB16979A1DAAF87B1C0CF88E325CB6FF1917BCB4D727C","incluido_en_git","Vista 2D alternativa de PCB"
"Electronica\3D_PCB1_2026-08-10 (1).png","02-electronica\pcb\pcb-3d-vista-01.png","401623","F4FC29314C955B0360E96B431875A262E0D265343F733DA393633F5B95CBF54E","incluido_en_git","Render 3D de PCB"
"Electronica\3D_PCB1_2026-08-10 (2).png","02-electronica\pcb\pcb-3d-vista-02.png","323129","69A912DFCE277D8236716A826A8B47425D5236E1B763205E13774565316B9CBA","incluido_en_git","Render 3D de PCB"
"Electronica\3D_PCB1_2026-08-10.png","02-electronica\pcb\pcb-3d-vista-03.png","254404","9A57CD6BB667CB0EB1241DEDA445A86A5CD77E10FD2A61BB4C025253EDC03363","incluido_en_git","Render 3D de PCB"
"Electronica\PCB_PCB1_2026-08-10.png","02-electronica\pcb\pcb-layout.png","780377","9265C47A23C3B12C24923877E6CEC775080A0FD02D58E437FE23FC5B8D42BB3D","incluido_en_git","Layout de PCB"
"Electronica\1aa54170-1731-42c8-99f5-4e1365d63c22-removebg-preview.png","02-electronica\recursos\space-nl.png","247605","0B70FD5AC562FC474EC389849C018FAEBC52D409F442D9B75F91757AF3BA9A8E","incluido_en_git","Recurso raster de identidad"
"Electronica\1aa54170-1731-42c8-99f5-4e1365d63c22-removebg-preview (2).svg","02-electronica\recursos\space-nl.svg","498755","EAFF7C6B8B3469F27E4738E6E1009631B02EB2B93925738F97B281E3A63E63D7","incluido_en_git","Recurso vectorial de identidad"
